Ano,N_acoes,Momentum,Baixa_Vol,Valor_PVP,Qualidade,Carteira
2016,21,"KLBN11, BRKM5, SULA11, ENBR3, SANB11, LAME4, LREN3, CIEL3, FLRY3, WEGE3","BRFS3, KLBN11, WEGE3, CIEL3, ITSA4, FLRY3, ITUB4, LREN3, VIVT3, LAME4","EVEN3, CPLE6, LIGT3, CMIG4, BBAS3, CESP6, SANB11, ENBR3, VIVT3, ITSA4","LREN3, BRKM5, CMIG4, ITSA4, NATU3, ENBR3, CIEL3, LAME4, BRFS3, LIGT3","BBAS3, BRFS3, BRKM5, CESP6, CIEL3, CMIG4, CPLE6, ENBR3, EVEN3, FLRY3, ITSA4, ITUB4, KLBN11, LAME4, LIGT3, LREN3, NATU3, SANB11, SULA11, VIVT3, WEGE3"
2017,23,"FLRY3, BBAS3, SANB11, LIGT3, CLSC4, ECOR3, CPFE3, BBDC4, ITUB4, CMIG4","EGIE3, ENBR3, CPFE3, BRFS3, MRVE3, FLRY3, LREN3, WEGE3, VIVT3, CIEL3","CLSC4, CPLE6, CMIG4, ENBR3, VIVT3, MRVE3, LIGT3, BBAS3, SULA11, SANB11","BBDC4, BRKM5, ITUB4, EGIE3, BBAS3, NATU3, LREN3, SANB11, CIEL3, LAME4","BBAS3, BBDC4, BRFS3, BRKM5, CIEL3, CLSC4, CMIG4, CPFE3, CPLE6, ECOR3, EGIE3, ENBR3, FLRY3, ITUB4, LAME4, LIGT3, LREN3, MRVE3, NATU3, SANB11, SULA11, VIVT3, WEGE3"
2018,22,"FLRY3, CLSC4, LREN3, WEGE3, ECOR3, NATU3, MRVE3, ITSA4, BBDC4, ITUB4","EGIE3, CPFE3, ITSA4, ENBR3, ITUB4, VIVT3, WEGE3, BBDC4, KLBN11, CIEL3","CPLE6, CLSC4, CMIG4, ENBR3, LIGT3, VIVT3, MRVE3, BBAS3, SANB11, ITSA4","EGIE3, ITUB4, LREN3, BBDC4, ECOR3, BRKM5, FLRY3, CIEL3, CLSC4, ITSA4","BBAS3, BBDC4, BRKM5, CIEL3, CLSC4, CMIG4, CPFE3, CPLE6, ECOR3, EGIE3, ENBR3, FLRY3, ITSA4, ITUB4, KLBN11, LIGT3, LREN3, MRVE3, NATU3, SANB11, VIVT3, WEGE3"
2019,20,"CMIG4, BBAS3, NATU3, SANB11, EGIE3, CPLE6, ITSA4, ITUB4, BBDC4, LREN3","EGIE3, KLBN11, VIVT3, WEGE3, ITUB4, ITSA4, BBDC4, FLRY3, ENBR3, MRVE3","CPLE6, VIVT3, ENBR3, MRVE3, LIGT3, CMIG4, BBAS3, ITUB4, SANB11, ITSA4","BRKM5, LREN3, EGIE3, BBDC4, BBAS3, ITUB4, FLRY3, ITSA4, CIEL3, ECOR3","BBAS3, BBDC4, BRKM5, CIEL3, CMIG4, CPLE6, ECOR3, EGIE3, ENBR3, FLRY3, ITSA4, ITUB4, KLBN11, LIGT3, LREN3, MRVE3, NATU3, SANB11, VIVT3, WEGE3"
2020,21,"CPLE6, MOVI3, WEGE3, MRVE3, ECOR3, FLRY3, BRFS3, ENBR3, EGIE3, LIGT3","VIVT3, ITSA4, ITUB4, EGIE3, KLBN11, WEGE3, ENBR3, SANB11, BBDC4, FLRY3","LIGT3, CPLE6, VIVT3, ENBR3, CMIG4, BBAS3, SANB11, MRVE3, BBDC4, ITSA4","LREN3, EGIE3, FLRY3, ITSA4, WEGE3, BRKM5, ENBR3, NATU3, LIGT3, CPLE6","BBAS3, BBDC4, BRFS3, BRKM5, CMIG4, CPLE6, ECOR3, EGIE3, ENBR3, FLRY3, ITSA4, ITUB4, KLBN11, LIGT3, LREN3, MOVI3, MRVE3, NATU3, SANB11, VIVT3, WEGE3"
2021,25,"WEGE3, KLBN11, SUZB3, BPAC11, CPLE6, AESB3, CMIG4, CSAN3, MOVI3, VIVT3","EGIE3, ENBR3, VIVT3, CPFE3, ITSA4, FLRY3, NEOE3, KLBN11, ITUB4, AESB3","CPLE6, BBAS3, LIGT3, ENBR3, NEOE3, VIVT3, CIEL3, PCAR3, CMIG4, PETR4","WEGE3, EGIE3, AESB3, CPFE3, BEEF3, LREN3, ECOR3, ITSA4, CPLE6, CMIG4","AESB3, BBAS3, BEEF3, BPAC11, CIEL3, CMIG4, CPFE3, CPLE6, CSAN3, ECOR3, EGIE3, ENBR3, FLRY3, ITSA4, ITUB4, KLBN11, LIGT3, LREN3, MOVI3, NEOE3, PCAR3, PETR4, SUZB3, VIVT3, WEGE3"
2022,26,"BRKM5, PCAR3, AMBP3, SIMH3, BEEF3, VIVT3, CMIG4, CSAN3, ENBR3, MYPK3","EGIE3, ENBR3, VIVT3, NEOE3, ITSA4, CPFE3, KLBN11, MDIA3, FLRY3, CPLE6","PCAR3, LIGT3, MYPK3, CIEL3, BBAS3, NEOE3, CPLE6, MRVE3, ENBR3, CMIG4","BRKM5, WEGE3, VBBR3, EGIE3, CMIG4, RADL3, DXCO3, CPFE3, CPLE6, ITSA4","AMBP3, BBAS3, BEEF3, BRKM5, CIEL3, CMIG4, CPFE3, CPLE6, CSAN3, DXCO3, EGIE3, ENBR3, FLRY3, ITSA4, KLBN11, LIGT3, MDIA3, MRVE3, MYPK3, NEOE3, PCAR3, RADL3, SIMH3, VBBR3, VIVT3, WEGE3"
2023,35,"CIEL3, HYPE3, MDIA3, ASAI3, CPFE3, CPLE6, BBAS3, RANI3, CMIG4, BEEF3","EGIE3, VIVT3, ITSA4, TIMS3, ABEV3, AESB3, ITUB4, NEOE3, SANB11, KLBN11","AMER3, LIGT3, GFSA3, COGN3, PCAR3, MYPK3, MRVE3, SAPR11, NEOE3, BRFS3","SLCE3, RANI3, WEGE3, CPFE3, RADL3, STBP3, CBAV3, KLBN11, EGIE3, SUZB3","ABEV3, AESB3, AMER3, ASAI3, BBAS3, BEEF3, BRFS3, CBAV3, CIEL3, CMIG4, COGN3, CPFE3, CPLE6, EGIE3, GFSA3, HYPE3, ITSA4, ITUB4, KLBN11, LIGT3, MDIA3, MRVE3, MYPK3, NEOE3, PCAR3, RADL3, RANI3, SANB11, SAPR11, SLCE3, STBP3, SUZB3, TIMS3, VIVT3, WEGE3"
2024,34,"CEAB3, JSLG3, YDUQ3, UGPA3, ECOR3, MTRE3, BBAS3, SAPR11, BRFS3, BPAC11","AURE3, EGIE3, ISAE4, ABEV3, ITSA4, VIVT3, KLBN11, SAPR11, CPFE3, RADL3","PCAR3, USIM5, MYPK3, COGN3, MTRE3, CBAV3, MRVE3, GFSA3, CSAN3, AERI3","WEGE3, CPFE3, STBP3, RADL3, EGIE3, RANI3, SLCE3, ABEV3, CMIG4, B3SA3","ABEV3, AERI3, AURE3, B3SA3, BBAS3, BPAC11, BRFS3, CBAV3, CEAB3, CMIG4, COGN3, CPFE3, CSAN3, ECOR3, EGIE3, GFSA3, ISAE4, ITSA4, JSLG3, KLBN11, MRVE3, MTRE3, MYPK3, PCAR3, RADL3, RANI3, SAPR11, SLCE3, STBP3, UGPA3, USIM5, VIVT3, WEGE3, YDUQ3"
2025,33,"AMBP3, BRFS3, STBP3, WEGE3, CMIG4, PSSA3, TTEN3, KLBN11, SBSP3, CSMG3","BBAS3, EGIE3, AURE3, ITUB4, ITSA4, CPFE3, KLBN11, NEOE3, CPLE6, PORT3","GFSA3, BHIA3, COGN3, USIM5, MTRE3, CSAN3, PCAR3, MRVE3, SIMH3, MGLU3","VBBR3, WEGE3, SBSP3, CMIG4, STBP3, RADL3, EGIE3, CPFE3, TIMS3, B3SA3","AMBP3, AURE3, B3SA3, BBAS3, BHIA3, BRFS3, CMIG4, COGN3, CPFE3, CPLE6, CSAN3, CSMG3, EGIE3, GFSA3, ITSA4, ITUB4, KLBN11, MGLU3, MRVE3, MTRE3, NEOE3, PCAR3, PORT3, PSSA3, RADL3, SBSP3, SIMH3, STBP3, TIMS3, TTEN3, USIM5, VBBR3, WEGE3"
